id	SARS-COV2_Mock	SARS-COV2_Mock	SARS-COV2_Mock	SARS-COV2	SARS-COV2	SARS-COV2	SARS-CoV-2_Rux	SARS-CoV-2_Rux	SARS-CoV-2_Rux
B2M	1153	6147	4629	3845	4330	3921	3567	3648	2792
RPL11	1780	7882	6594	2252	2630	2593	3140	3372	2602
TAGLN2	1302	5755	5027	985	1027	1025	1583	1526	1128
RPL37A	3089	12882	10778	2096	2498	2584	2937	3005	2214
PGD	2928	12460	10436	1426	1287	1084	1822	1702	1314
RPS15A	1910	9451	7547	2681	3062	3033	4311	4569	3331
RPL32	2472	10740	8703	2353	2924	2792	3313	3474	2615
CD44	1542	6304	5561	853	791	785	1068	1015	777
RPS27	2187	9702	8278	2611	3035	3064	3950	4311	3066
CXCL5	1033	5215	4679	1868	1921	1797	2204	1699	1544
ITGA3	1372	6471	5110	1345	1337	1157	1806	1238	1031
RPL27	2190	10659	8880	2407	2789	2692	3297	3312	2521
RPL5	1911	8604	7251	1647	1915	2020	2728	2994	2201
THBS1	237	1208	819	188	221	197	288	288	250
GSTP1	1589	7933	6752	706	772	693	1184	971	905
DDX5	2448	11568	9002	7268	7924	7608	10773	11127	8245
COL17A1	20	72	58	24	9	18	35	24	17
CA12	4176	19615	15801	3638	3314	2938	3604	3596	2789
RPS3A	1589	7681	6461	1195	1395	1518	2017	1994	1542
LDHB	2941	14842	12020	1365	1443	1293	2012	2141	1669
TXNRD1	3057	15154	11806	1598	2005	1794	2754	2968	2270
YBX1	1113	5086	3615	595	592	626	895	961	778
PTMA	1550	5817	4796	1449	1436	1401	2034	2057	1579
RPL28	1531	7006	5621	1263	1746	1737	2113	1751	1463
GPI	7550	33413	29334	5170	5709	5394	8161	9923	7191
RPL18	1696	8535	7302	756	987	982	1349	1208	1013
HNRNPC	1686	7322	5778	3075	3405	3685	4790	5312	3388
GNAS	1671	7632	6199	1312	1303	1213	1663	1741	1345
SLC7A5	1074	5634	4507	1327	1511	1531	2327	1518	1149
EIF5A	1691	7971	6611	1234	1305	1176	1676	1621	1289
ACLY	1705	8360	6731	1419	1256	1086	1835	1678	1438
HSPD1	4259	21301	16136	2812	3415	3083	3270	4537	3274
TMBIM6	2483	12111	9236	1837	1930	1917	2651	3057	2133
RPLP2	1186	7021	5665	1100	1368	1346	1746	1296	1061
UBB	2774	13113	11574	2427	2763	2832	3189	3460	2563
CD59	844	3814	3293	822	953	900	1164	1199	914
NEAT1	781	3865	3838	9039	10060	10660	15612	15721	10641
RPL31	2029	9264	7921	1801	2294	2456	2678	3077	2151
ERBB2	137	722	625	133	148	116	209	194	130
DYNC1H1	2124	10935	7958	2373	2472	2240	3308	3296	2378
TPM1	1454	7136	6428	1299	1264	1349	2005	1891	1591
MYOF	2187	10622	8007	2040	1995	1851	3275	3216	2469
DCBLD2	2760	14216	11261	3318	3470	3537	5466	5428	4497
CALM2	1786	8163	7304	2022	2333	2419	3401	3647	2556
YWHAE	1592	6698	5595	2438	2803	2902	3454	4092	2854
RPS5	2294	11854	9807	1479	1896	1867	2356	2230	1631
JUP	368	1564	1327	244	254	259	425	354	309
HDLBP	1358	6966	5038	1147	1200	1093	1731	1722	1263
H3F3B	2022	10046	8208	4391	4753	4836	6717	6387	4296
ATP2A2	2069	10231	8140	2685	2644	2468	3432	2956	2675
RPL9	1450	5993	5078	1506	1735	1929	2302	2501	1944
NACA	1539	7296	6430	1764	2087	2214	2879	3094	2121
RPL23A	1833	8075	7071	1330	1502	1579	1941	2013	1436
RPS27A	2579	10443	9106	3089	3619	3825	4564	5139	3674
RPL24	1292	5240	4366	995	1148	1217	1482	1581	1109
AHNAK2	1154	5064	3876	1178	1014	865	2005	1576	1312
RPS9	1314	6479	5498	609	699	784	1035	860	629
CYP24A1	740	3373	3047	519	582	504	666	614	545
SPINT2	981	4000	3997	807	797	769	1277	1143	871
CAPN2	1492	7250	5827	1449	1407	1333	2209	2047	1692
CAP1	1083	4907	4000	817	950	768	1053	1226	995
EIF1	1190	6534	4782	2403	2771	2846	3991	4204	2841
APLP2	874	4574	3152	382	340	327	421	475	342
SFN	267	1195	1019	187	199	144	268	219	209
CAPNS1	2308	10130	8975	1290	1408	1155	1973	1835	1550
TM4SF1	1744	7417	7298	1990	2034	1971	2223	2224	1789
MALAT1	1554	8188	6012	7574	8406	8084	13327	14607	10337
ACTN1	603	2791	2385	708	698	643	761	820	590
FADS2	1335	6135	5171	440	430	321	736	570	628
RPS25	1087	4334	3341	598	669	699	917	1002	678
EIF4G1	941	4282	3114	1053	1064	972	1576	1392	1008
F3	61	309	312	416	578	636	481	563	379
LASP1	1760	7973	6685	1348	1333	1190	2168	2058	1645
PDIA3	1167	5437	4194	772	714	631	859	947	769
TGM2	638	3119	2869	4751	4864	4229	630	673	584
ITGA6	339	1554	1142	239	264	218	422	444	349
HNRNPU	1563	7453	5610	1429	1388	1315	1908	1786	1479
RAN	1320	6163	5227	1435	1545	1651	2145	2441	1780
2-Sep	1852	8744	6763	1194	1195	1322	1901	1998	1579
ANXA5	1441	6906	5630	1594	1788	1796	1803	2038	1413
CLTC	2084	10258	7841	2255	2304	2309	3588	3604	2749
ITGB4	197	958	807	259	250	244	338	264	176
CD63	1027	4335	3994	691	752	734	989	964	723
RPL14	937	4570	3718	926	1027	1094	1374	1364	1107
NAP1L1	1784	9036	7218	2226	2502	2769	3542	4163	2943
S100A14	0	2	2	6	3	4	4	1	2
RPL38	1688	7350	6037	2093	2676	2629	3039	3226	2547
CCT3	1640	7954	6294	1306	1405	1343	1699	1995	1520
BSG	1197	6055	4560	527	513	451	815	701	496
S100A16	400	1698	1647	320	355	276	434	337	274
TUBA1C	804	4107	3621	1514	1504	1520	1914	2160	1531
LAMA5	725	4562	2999	951	963	1043	2046	1163	964
RNF213	973	4766	3582	6049	5106	3906	1873	1518	1183
SDC1	802	4335	3540	429	414	414	724	571	465
YWHAQ	1803	8250	6877	1053	1030	971	1605	1737	1211
RPS13	1324	6907	5933	1416	1758	1738	2123	2064	1733
CCT7	1832	8236	6514	1139	1193	1100	1425	1627	1231
TNFAIP2	1094	5609	4783	3838	4095	3841	7757	5259	4277
LGALS1	607	3023	2684	341	404	423	587	547	438
PMEPA1	293	1343	1206	911	1097	1174	1680	1604	1274
CTSD	1212	6322	5461	559	574	427	848	616	496
MYL12B	1168	5121	4457	1089	1193	1115	1548	1639	1186
EEF1B2	1562	6708	5492	1147	1277	1352	2049	1930	1433
SRRM2	921	4350	3432	2195	2245	2119	3696	3510	2407
SERPINA3	66	279	255	59	64	40	94	64	47
PFKP	1805	8910	6553	1296	1536	1340	1891	1893	1466
ANXA4	4741	21216	20228	3114	3317	3201	4452	4701	3421
MCL1	955	4736	3873	4769	5268	5836	5767	5897	4476
HDGF	450	1829	1627	1129	1092	1092	1502	1254	963
TPM3	1135	5144	3992	1022	1077	967	1202	1285	965
PLAU	188	898	708	573	482	541	1276	762	569
RPL18A	601	3347	2787	599	708	725	1134	925	756
ALDH3A1	1349	6988	4965	561	504	392	1185	670	714
KPNB1	1555	7324	5278	2322	2415	2322	3156	3208	2445
EIF4B	1135	4921	4323	1694	1777	1952	3164	3264	2315
RPL29	1061	4750	4173	620	775	719	1004	810	668
ARPC2	1025	4857	3972	848	988	1009	1267	1416	1032
RTN4	1325	6999	6243	1153	1250	1276	1776	1834	1443
LMNA	1040	5030	4139	1051	1144	1073	1781	1353	1070
TOP2A	248	1533	842	152	215	183	309	224	220
COL7A1	937	5380	3999	1686	2048	2085	3100	2223	1730
TACSTD2	0	0	0	0	0	0	0	1	0
AGRN	522	2908	2134	904	1022	1008	1193	761	617
IQGAP1	1041	4750	3477	1400	1374	1402	1789	1823	1323
FASN	275	1633	1183	173	196	174	367	246	203
CD151	1025	4987	4443	922	1090	1105	1556	1251	993
DSTN	1433	7180	6598	1012	1052	958	1600	1563	1286
PRPF8	1039	5257	3793	1766	1803	1797	2851	2965	2063
SLC3A2	754	4080	3433	1312	1386	1361	2348	1815	1385
TNS4	95	420	472	389	326	252	376	238	201
CSDE1	814	3662	2851	880	850	786	1078	1210	860
NFKBIA	181	884	678	9563	10744	11183	16083	13726	10362
SLC25A3	1115	5641	4708	1236	1380	1257	1928	1762	1444
AKR1C1	1317	5838	5468	788	625	511	964	961	615
S100A9	6	11	11	15	11	8	1	2	4
ABCC3	1512	6665	5884	1212	1073	964	1503	1374	1030
IFIT1	24	90	57	3655	3455	2606	197	90	88
TMBIM1	478	2066	1780	695	702	701	1083	1029	816
XRCC6	832	3955	3080	871	921	930	1304	1468	951
SLC38A2	1162	5954	4586	2618	2637	3009	3660	3533	2501
PDIA6	846	4084	3013	527	530	469	618	691	508
PSMD3	454	2096	1601	361	397	384	507	508	357
HNRNPUL1	886	3834	3070	1055	1083	944	1762	1577	1214
RHOA	905	4267	3615	955	1040	1014	1567	1642	1191
XRCC5	1257	5581	4445	827	862	783	1179	1311	936
RPS21	1046	5645	4744	685	900	909	1112	1025	735
IFIT2	22	66	58	4198	2945	1881	596	377	255
AP2B1	1607	8090	6137	1541	1610	1528	2192	2246	1780
PTPRF	884	4600	3478	912	921	929	1236	1087	855
NFE2L1	794	3703	2989	732	795	741	1127	1118	768
BHLHE40	695	3117	2446	4715	6453	7732	8220	10327	6513
ZFP36L1	340	1567	1390	2010	2396	2530	3033	2890	2078
GANAB	1020	5228	4114	629	678	630	927	951	718
PSMD2	557	3097	2176	626	697	709	811	873	630
GRN	532	2664	2262	422	435	413	547	407	345
FADS1	930	4910	3668	578	589	421	793	729	694
RPL36	736	3460	2602	633	824	875	1066	830	607
WDR1	950	4553	3779	922	1016	995	1458	1507	1161
RPS29	1174	5991	5221	1095	1274	1223	1509	1834	1275
LAMC1	1059	5108	3937	915	899	866	1684	1437	1185
STAT1	573	2717	2276	2799	2602	2244	656	401	329
EIF3A	885	4320	3084	1673	1784	1834	2815	2995	2003
GPX2	2507	9173	8837	693	632	530	1110	1293	891
ARF1	713	3368	2722	845	979	973	1220	1200	941
UBA52	1142	4919	4171	806	896	937	1068	1230	996
GNB1	454	2358	1955	644	699	664	988	1029	794
AMIGO2	735	3488	3446	2346	2309	2262	3142	2410	1933
RPN2	1100	5558	4347	669	717	663	945	1020	776
DDIT4	742	3430	2870	3639	5623	6961	6657	8294	5200
RPL41	1565	5284	4055	829	973	962	1116	1199	838
RPL35A	816	3605	3111	603	666	678	867	985	643
GPRC5A	834	3926	3403	1414	1743	1569	1391	1664	1372
CTNNB1	631	3181	2589	1244	1459	1424	2006	1859	1321
PLOD2	2957	14252	10783	2740	3126	3191	3001	4482	3117
ATP1A1	539	2594	2114	313	321	254	344	391	314
SHC1	680	3586	2720	748	721	573	925	761	629
PPIB	399	1852	1432	286	304	230	347	378	272
HIF1A	374	1754	1295	580	538	558	807	676	537
MYO1B	846	4147	3402	1043	1119	1051	1509	1398	1059
VCL	1232	5908	5253	995	1022	894	1248	1251	1074
ATF4	503	2390	1929	2930	3314	3301	4677	4464	3329
ACTR2	1025	5159	4115	716	803	835	1117	1173	938
CSTB	364	1665	1356	333	322	270	428	418	282
UCHL1	2232	11223	9549	1292	1428	1319	1725	1850	1378
PPP1R15A	230	1093	828	8944	10143	11234	15044	13798	8934
ADAR	715	3219	2422	1818	1808	1590	1225	1109	839
PFKFB3	1343	6033	5075	2764	3138	2951	3345	3729	2722
MGST1	1119	4795	4612	677	680	565	787	701	638
DHCR24	381	1877	1518	144	170	148	254	241	226
HNRNPA3	678	3115	2796	2299	2586	2859	3806	3909	2860
MAT2A	1178	6456	4570	2111	2342	2087	3006	3031	2462
TRIM28	752	4398	3246	739	876	812	1138	983	843
RPS15	674	3152	2749	318	411	419	504	430	350
AP2M1	932	4275	3460	368	443	349	515	478	405
TUBA4A	524	2559	2223	386	503	486	528	674	460
ARPC3	856	3768	3335	760	792	743	980	1155	765
EPAS1	447	2208	1776	663	681	661	674	677	507
MORF4L1	967	4924	4155	908	959	1030	1393	1679	1192
ACADVL	1271	5770	4848	1004	1117	1064	1524	1405	1069
CCT4	886	5030	3919	989	1099	1051	1304	1380	1129
IFIT3	22	89	65	2327	1961	1618	192	99	82
CTTN	842	4160	3406	831	843	851	1293	1261	807
PYGB	677	3092	2649	431	397	335	867	719	492
TALDO1	1021	4718	3982	561	567	495	665	687	558
MAP4	565	2701	1928	506	537	567	805	766	586
CALM3	728	3211	2626	576	640	524	793	742	668
SLC2A1	690	2969	2652	1248	1525	1467	1656	1711	1297
STIP1	1032	4933	4159	696	893	879	932	1224	843
SNRNP200	878	4110	3098	998	940	895	1561	1556	1093
YWHAB	526	2221	1832	622	676	688	807	1002	736
CCND1	396	1798	1548	389	437	398	583	576	546
SEC61A1	918	4752	3551	729	757	687	1091	1014	876
PTGES3	945	5414	4570	1324	1733	1841	1748	2392	1691
PCBP2	841	4199	3215	1014	1080	968	1515	1503	1102
MYO1E	1251	5999	4824	1633	1667	1846	2222	2326	1524
KRT23	2	7	4	5	1	2	3	8	1
SF3B1	980	4601	3602	2520	2793	2905	3961	4516	3101
OAZ1	572	3028	2484	398	395	404	527	536	355
RHOC	532	2675	2312	506	521	489	830	718	558
CAPRIN1	901	4202	3394	1195	1228	1143	1801	1768	1315
MYL12A	833	3476	3063	881	944	923	1139	1217	887
RAB7A	431	2062	1684	499	499	507	712	674	535
SNRPB	900	4323	3481	926	1014	1058	1321	1202	996
CDH1	249	1001	1037	225	195	143	175	136	131
CALM1	697	3375	2678	439	429	425	606	719	564
PTHLH	43	144	93	55	57	60	95	113	62
RPN1	555	2504	2014	361	387	303	500	461	399
PCBP1	661	3136	2689	1842	1951	1837	2836	2707	1922
SDC4	203	986	822	831	924	963	1334	1218	890
MAP4K4	614	2781	2062	1068	1069	989	1512	1382	1129
EIF5B	853	3779	3047	985	1174	992	1481	1464	1114
CAPN1	452	2185	1825	288	318	271	478	409	334
PRRC2C	724	3402	2442	1443	1463	1599	2013	1979	1454
FKBP1A	719	3172	2820	352	342	322	450	501	424
SH3BGRL3	198	943	802	236	239	241	273	256	209
LGALS3BP	366	2015	1606	902	841	630	341	242	191
NUCKS1	807	3377	2745	645	689	701	1116	1097	829
9-Sep	708	3260	2575	510	504	473	818	714	509
CDH3	6	17	10	6	11	7	0	1	1
PRKAR1A	767	3610	2886	850	831	928	1294	1381	1036
TMED2	857	3744	2954	500	503	472	647	795	562
SERBP1	608	2813	2346	381	413	439	669	697	540
DYNLL1	777	3739	2867	1090	1310	1296	1704	1812	1392
ALDH1A3	65	281	189	31	23	21	96	68	68
ABCC2	1994	9161	6998	1842	1676	1520	2850	2544	2011
CCT2	803	4004	3060	1075	1230	1240	1551	1796	1292
HNRNPF	792	3870	3069	1147	1134	1025	1684	1416	1227
AHCY	740	3893	2873	242	252	268	413	385	317
FAU	764	3950	3302	522	681	687	978	704	612
SPP1	1080	4775	4339	320	304	259	364	359	291
COX4I1	788	3767	3154	828	948	981	1350	1388	964
DSG2	819	3862	3140	367	357	381	630	650	519
PTBP1	467	2365	1886	491	540	583	722	679	520
DDX17	765	3707	2817	1616	1828	1720	2503	2527	1807
MYO1C	710	3373	2562	586	597	550	1059	833	680
S100A4	1098	4750	5025	1608	1512	1584	2796	3032	2180
PLXNB2	794	4180	2964	995	990	899	2044	1339	1020
ITGB5	759	4320	3123	852	920	810	1367	1238	967
ACTR3	810	3734	3182	1110	1181	1259	1635	1749	1300
FUS	1106	5095	3693	1142	1088	1025	1429	1376	1036
SRSF1	878	4639	3471	3072	3376	3802	4853	5043	3833
KLF6	232	1005	835	2297	1975	2316	3672	3354	2188
COTL1	292	1682	1422	418	400	405	713	713	483
GDI2	715	3425	2813	764	750	667	959	950	732
ELF3	621	2803	2660	2559	2768	2767	4797	4699	3051
STARD3	79	481	360	72	83	86	126	92	89
TUBB6	373	1843	1444	379	374	349	553	458	397
EIF4A2	641	3032	2641	1580	1840	1872	2327	2810	1807
BZW1	983	4520	3460	1524	1928	2236	2182	3113	2028
FBL	822	3715	3169	584	739	808	859	1080	770
ATP1B1	2135	8788	7809	1964	2044	2067	2571	3334	1945
KPNA2	436	2107	1676	468	493	568	679	815	532
CLSTN1	503	2277	1793	548	516	469	733	739	577
MACF1	536	2335	1707	664	723	674	1258	1060	917
PA2G4	829	3858	3090	714	770	704	1145	1194	973
MPRIP	489	2204	1825	896	877	895	1396	1281	850
RPL22	581	2553	2226	508	597	600	788	809	646
TSPAN3	1450	6643	5600	909	955	928	1167	1463	1028
SRC	900	3821	3230	1032	936	928	1564	1325	838
ILF3	630	3210	2441	878	897	880	1384	1277	1008
KTN1	898	4269	3278	1280	1433	1514	1987	2130	1414
IPO7	1122	5245	4023	974	1099	1116	1348	1610	1151
PRDX5	614	2667	2518	355	411	344	580	451	382
DDX21	811	3953	3084	1559	1705	1761	2585	2837	1988
EIF5	1191	6150	4699	3394	3630	3746	5041	5340	3736
TGOLN2	1022	4745	3479	987	876	800	1277	1317	1000
DNAJB1	555	3154	2688	992	1255	1256	1191	1567	1129
TINAGL1	2	3	6	5	5	4	8	7	8
LDLR	109	562	482	278	309	312	397	416	305
MVP	468	2445	2065	492	467	440	586	384	301
LIF	129	750	626	1462	1676	1753	2688	2220	1681
HADHA	813	3761	2864	609	671	600	1000	980	746
ICAM1	120	706	556	708	783	709	1318	1007	781
ORMDL3	181	770	669	182	180	198	177	206	147
COX6B1	996	4212	3598	504	552	529	819	810	614
SERPINB5	0	2	2	1	0	0	2	4	1
PPP2R1A	636	3466	3037	481	574	497	809	723	573
JAG1	505	2421	2002	1375	1380	1469	1944	1504	1205
JAK1	702	3485	2609	1105	1191	1234	1823	1773	1259
XPO1	855	3931	3047	3065	3372	3767	4961	5797	3813
ITGAV	756	3746	3077	1287	1326	1501	2098	2163	1647
DDB1	853	4484	3311	644	615	570	939	887	674
SFPQ	538	2481	1910	931	1114	1062	1525	1477	1083
CSRP1	624	2955	2670	677	653	628	949	780	664
VAT1	618	2794	2303	504	484	470	928	692	600
PHB	837	4037	3403	251	256	176	385	371	267
OAS3	194	1147	711	2075	1935	1581	408	188	176
SNRPD2	651	2983	2261	360	434	410	537	699	461
RPL13A	759	3663	3376	782	893	959	1304	1147	993
PRNP	596	2913	2283	585	600	633	924	967	795
SMAD3	525	2486	2066	1980	2224	2420	3135	3258	2264
MRFAP1	585	3033	2470	843	890	910	1289	1270	881
EIF3K	983	4631	3946	591	634	618	930	927	675
JUN	263	1126	929	2533	3201	3823	4435	4136	2681
EIF3L	645	3253	2593	553	560	621	926	982	714
TXNIP	63	263	151	168	141	127	69	121	69
RPS28	394	2390	1693	345	455	476	678	411	304
FLII	427	2081	1691	477	463	463	705	671	466
CRIM1	762	3531	2934	1000	1061	1104	1599	1536	1083
TUBA1A	1413	5835	5359	785	859	858	1513	1625	1224
KDELR1	706	3026	2656	686	727	609	956	942	647
CYB5B	843	4177	3408	427	451	351	617	554	438
PRSS23	816	3775	3686	475	484	393	766	893	697
DBI	461	2000	1767	271	348	305	417	414	363
LRRC59	656	3257	2580	683	686	667	937	914	683
EWSR1	534	2450	1959	668	722	708	985	932	717
DDOST	757	3517	2958	392	407	342	595	543	498
MLF2	624	2858	2326	761	835	847	1252	1125	863
C3	926	4460	3803	2412	2207	1943	1966	1425	1211
PSMD8	693	2886	2565	488	498	452	722	697	562
CORO1C	674	3180	2670	607	713	651	874	977	763
MYADM	191	772	672	487	563	523	679	613	467
RPL34	198	946	880	305	354	347	399	504	288
RAB10	645	2829	2488	727	871	890	1289	1295	991
TFRC	891	4704	3561	577	708	802	814	1249	925
PHLDA1	136	698	607	840	837	872	1154	1000	787
CDC42	579	2498	2068	691	788	752	977	1217	816
CD81	548	2627	2163	373	379	291	547	547	339
SLC1A5	595	3295	2318	459	492	416	879	578	426
DHX9	815	3662	2812	2193	2392	2428	3656	3943	2657
MLEC	953	4550	3579	593	617	513	650	682	520
ARHGDIA	337	1719	1258	308	358	352	659	457	350
ANXA11	376	1744	1533	234	253	207	383	328	281
TSPAN14	491	2533	2176	706	756	614	1090	1013	835
PDXK	442	2370	2131	427	478	438	639	573	479
MMP14	10	17	9	6	4	13	15	19	12
CNBP	569	2983	2442	917	967	936	1355	1305	916
CCT8	674	3158	2547	619	695	654	925	996	858
PDLIM1	348	1451	1519	596	563	508	661	658	515
RAB1A	882	3808	3267	916	996	1019	1327	1497	1180
KYNU	572	2711	1998	1101	1121	1153	1331	1187	899
SF3B2	634	2734	2066	1029	1128	1150	1626	1542	1196
TGFBR2	1190	5173	4490	570	530	455	835	673	618
TMEM123	759	3478	3099	717	803	795	863	1068	718
FDPS	394	1943	1702	247	240	231	365	328	297
CNOT1	833	3881	2876	1252	1273	1240	1903	1894	1439
CSF3	1	1	6	9	14	9	6	9	3
PEA15	369	1577	1351	576	634	638	830	779	673
ITM2B	516	2517	2104	404	442	433	498	501	456
CD9	192	905	912	235	207	199	377	401	254
SSRP1	568	2789	2089	527	537	484	760	705	585
CD46	565	2916	2350	584	553	587	867	887	645
BCL2L1	839	4001	3368	871	934	817	1348	1038	905
LITAF	655	2660	2376	547	583	530	682	623	507
U2AF2	469	2221	1753	800	885	879	1220	1118	891
RAB5C	677	2939	2432	554	581	504	898	800	616
HNRNPM	479	2416	1909	440	456	400	563	612	453
PRDX6	644	3514	2912	583	672	617	905	784	687
RBM39	493	2422	1894	2902	3142	3588	4601	5269	3375
JUNB	70	289	278	943	1313	1463	2120	1267	992
CHD3	768	3023	2502	980	1077	1044	1493	1635	1146
SNRNP70	354	1676	1218	548	644	630	945	829	546
RPS26	358	1786	1524	190	190	169	312	269	236
EPHA2	362	1913	1503	974	1112	1085	1854	1374	1149
GSPT1	616	2877	2285	664	702	660	1063	1079	785
UGDH	1120	5081	4376	705	636	550	800	804	537
KIF1C	423	2096	1452	380	448	391	757	640	537
VMP1	962	4985	3995	3408	3981	3897	5016	5007	3864
QSOX1	676	3310	2851	497	547	478	660	648	508
NET1	255	1061	825	558	600	629	792	772	571
GHITM	1013	4965	4084	569	641	605	884	909	646
CRTAP	835	3746	3103	748	786	726	1199	1273	897
RPL36AL	618	2491	2064	591	659	651	892	907	729
AARS	660	3215	2454	411	362	337	861	557	449
USP22	616	3202	2444	904	993	994	1654	1701	1217
PSMA7	591	2993	2506	419	420	434	656	655	458
TNFRSF12A	383	1759	1452	555	660	636	902	707	535
HSPG2	428	2481	1635	225	238	233	546	394	313
ACSL3	460	2206	1805	716	803	844	1124	1265	809
UBR4	469	2363	1746	1241	1274	1266	1940	1852	1392
CXCL1	145	829	740	1581	1640	1704	2207	1707	1283
EIF3D	378	1769	1509	636	692	766	992	1028	774
