id	SARS-COV2_Mock	SARS-COV2_Mock	SARS-COV2_Mock	SARS-COV2	SARS-COV2	SARS-COV2	SARS-CoV-2_Rux	SARS-CoV-2_Rux	SARS-CoV-2_Rux
FOSL2	248	1304	1063	1073	1209	1108	1340	1279	857
ANXA5	1441	6906	5630	1594	1788	1796	1803	2038	1413
CDK17	81	378	290	273	319	316	328	314	274
DUSP16	257	1221	954	1169	1211	1218	1444	1359	884
GABARAPL1	203	843	698	439	589	647	634	614	448
UBE2O	200	1054	814	380	489	450	490	460	379
TRIB3	369	2028	1765	803	844	967	1122	909	641
ABCC1	670	3246	2389	1087	1156	982	1280	1123	870
CDCP1	228	1291	1069	632	617	585	705	613	532
CA12	4176	19615	15801	3638	3314	2938	3604	3596	2789
SNAP25	28	165	165	256	296	342	345	308	248
KYNU	572	2711	1998	1101	1121	1153	1331	1187	899
CWF19L1	108	510	359	289	303	270	332	330	213
ARHGAP21	221	1003	749	474	486	418	538	506	351
XRN1	51	283	186	366	345	429	404	417	322
STAT6	351	1482	1350	471	472	413	536	456	373
MLLT6	153	660	584	267	284	277	315	320	201
LTBR	345	1652	1410	471	465	386	575	400	356
WHAMM	58	210	162	235	237	255	270	258	199
ITGA5	718	3477	3009	1026	1246	1276	1226	1324	970
FAM13A	304	1215	1112	997	1276	1349	1127	1591	891
RAB8B	118	483	416	235	294	269	282	290	219
HKDC1	311	1415	1218	794	738	692	1015	684	538
TGIF1	152	736	627	332	327	295	392	294	262
FN1	10702	42249	35836	10630	9616	7743	9517	11032	7311
FTH1	8914	43358	32528	6466	6700	5979	7266	6250	5389
CASP8	121	597	482	510	503	513	625	486	405
CTSC	291	1438	1129	271	273	219	266	272	214
KRT8	9241	40061	38427	5563	5038	3915	5301	4770	4199
UBFD1	236	1115	847	321	339	300	328	361	257
KLF5	216	837	742	732	749	836	905	755	624
TNFRSF1A	479	2002	1742	547	475	403	566	472	371
UGP2	529	2557	2220	604	678	690	637	742	541
CXCL5	1033	5215	4679	1868	1921	1797	2204	1699	1544
ENTPD6	289	1552	1361	241	241	211	277	231	172
CDC25B	264	1329	1017	576	473	388	606	490	326
MIDN	95	430	324	199	215	180	196	210	167
WISP2	113	419	508	154	178	183	197	171	128
PCGF5	89	478	450	347	379	451	424	428	280
AZI2	83	444	388	379	376	428	395	443	295
FLNB	1538	8165	6128	3086	3589	3499	3323	3631	2710
ERRFI1	939	3959	3379	3233	4084	4531	3856	4470	2956
PTGS2	617	2459	2068	3887	3514	3773	4598	3759	2459
GPRC5A	834	3926	3403	1414	1743	1569	1391	1664	1372
GRAMD1A	352	1742	1562	627	612	611	779	544	450
HK1	220	1036	768	273	279	235	258	277	211
TRAFD1	114	492	464	316	303	258	327	312	201
ORMDL3	181	770	669	182	180	198	177	206	147
IL1RAP	119	636	494	195	218	264	191	259	183
GALNT2	514	2524	2034	380	440	355	402	357	338
XBP1	231	1073	937	448	409	381	539	353	288
FYTTD1	122	575	394	243	241	255	226	285	184
DAXX	96	455	379	356	373	375	408	404	237
HM13	568	2653	2199	431	465	362	420	429	329
DUSP5	330	1619	1606	1241	1609	1522	1544	1490	1049
PCED1B	159	711	691	377	414	374	446	349	292
SHISA5	232	992	856	286	298	292	340	245	228
EPAS1	447	2208	1776	663	681	661	674	677	507
FERMT2	323	1389	1194	712	712	807	766	733	567
STAU1	365	1586	1276	632	639	748	707	682	486
PARP4	318	1528	1145	398	333	319	373	346	257
C11orf86	81	360	341	155	170	202	192	160	134
FILIP1L	19	70	58	256	247	262	271	258	180
ETS2	105	375	404	881	755	862	975	821	533
STX17	126	723	476	260	253	224	260	236	180
RPS6KC1	69	287	211	176	198	165	221	172	107
CEBPB	99	566	520	940	953	1016	1145	881	656
ARID3B	16	53	44	111	144	146	140	138	89
BCL6	54	188	182	191	204	276	195	238	174
SERPINE2	747	3767	3104	670	767	735	653	741	558
HTRA1	178	803	611	182	194	190	178	206	129
PPA1	322	1518	1311	411	429	426	405	409	325
NUCB1	550	2727	2125	415	420	368	434	369	287
ADAMTS9	120	477	368	175	154	167	180	158	112
SPATS2L	494	2246	1934	573	649	616	558	587	489
MVP	468	2445	2065	492	467	440	586	384	301
KDSR	80	371	314	148	151	160	133	129	142
CIB1	355	1821	1654	554	735	731	591	687	516
ADPRHL2	82	361	324	283	300	257	272	283	198
IL4R	57	232	188	186	220	202	212	205	129
OPTN	277	1324	969	900	937	762	912	767	640
TMX1	189	1119	873	212	236	213	208	214	165
GADD45B	60	213	224	311	465	550	476	392	308
SLC16A4	207	856	723	229	212	215	231	192	157
BLZF1	74	317	259	304	319	266	283	270	226
LRP10	343	1653	1284	459	458	406	535	318	316
TMEM132A	136	987	754	184	223	197	256	149	130
F3	61	309	312	416	578	636	481	563	379
BMP2	19	90	53	100	107	113	96	105	78
CYTH1	112	545	436	530	603	616	603	575	355
C16orf45	95	360	353	177	178	179	178	167	119
AGRN	522	2908	2134	904	1022	1008	1193	761	617
GABRB3	408	1857	1492	452	376	340	377	372	266
NRP1	397	1679	1459	695	620	570	605	599	431
TMC5	107	521	386	119	159	129	129	109	110
PGM2L1	119	613	479	181	177	193	178	163	134
WDR45	96	509	449	130	132	114	130	114	81
SERINC2	149	770	717	227	222	219	234	188	152
CLSTN3	65	300	261	180	202	167	175	174	121
ATP2B4	157	672	565	202	215	191	176	176	162
HMOX1	487	2344	2233	657	699	625	647	540	495
CARHSP1	205	842	695	157	192	150	154	160	112
CASP10	28	141	115	182	181	142	179	127	124
SERTAD1	114	635	464	370	463	474	473	330	309
GLIPR1	88	375	375	217	218	206	212	193	140
ANKFY1	310	1707	1272	598	575	564	502	540	419
BACH1	143	696	541	235	268	330	252	240	206
SMOX	223	1129	870	513	576	523	604	430	333
ARNTL2	110	626	414	271	309	302	284	241	212
USP28	65	269	170	146	163	177	130	170	107
TEAD2	36	168	143	100	90	100	88	95	61
BCL2L13	192	857	661	820	756	713	731	651	535
MTMR11	56	204	198	230	209	178	207	184	129
TNS4	95	420	472	389	326	252	376	238	201
HAS3	140	686	666	332	440	430	363	371	264
B2M	1153	6147	4629	3845	4330	3921	3567	3648	2792
RAB31	122	614	494	148	148	131	124	137	92
CDC42EP4	227	908	744	425	408	386	408	350	254
ZFYVE26	126	615	472	238	217	210	237	159	152
RBCK1	310	1702	1339	784	865	907	913	671	531
ID3	202	877	826	474	433	407	493	329	268
NEK7	93	413	359	136	167	203	104	177	127
THBD	177	916	863	589	779	800	637	577	529
MT1X	135	450	516	333	477	481	343	423	279
BCL2A1	14	86	74	191	207	199	199	145	139
CBR1	204	894	750	211	206	141	172	161	118
IRF2	43	180	137	196	189	181	176	167	114
PHACTR4	108	527	405	349	303	309	326	245	202
USF1	89	413	324	163	143	140	111	158	88
ASS1	49	301	244	96	108	106	107	81	60
CDH1	249	1001	1037	225	195	143	175	136	131
RAB27B	224	1065	953	311	237	255	286	182	168
ITPRIP	77	328	252	166	184	175	161	142	110
CD55	146	709	590	600	622	702	556	570	389
SMARCA5	289	1401	1030	680	703	641	536	640	409
TMEM50A	218	982	816	265	284	260	209	229	186
CD47	127	753	596	249	256	225	190	209	164
RND3	367	1583	1540	1550	1659	1878	1424	1441	1043
BACE2	121	498	405	216	207	205	155	194	132
RBM43	29	95	117	78	84	76	77	58	48
ID2	168	733	640	649	671	744	541	588	443
MRPL17	176	881	648	220	247	207	195	173	146
LIFR	96	440	366	148	143	128	97	123	97
TIMP2	323	1692	1331	286	258	242	201	221	174
LGALS9	4	39	31	78	109	76	88	62	51
EVA1C	71	295	252	111	67	57	68	65	47
C1RL	101	420	422	150	152	138	129	115	90
GTPBP1	44	244	204	220	244	253	219	191	135
RHCG	39	183	157	104	85	75	95	68	40
PID1	16	93	85	51	64	57	50	38	40
SEMA4B	344	1526	1344	1427	1721	1646	1313	1295	965
ARHGEF40	43	178	136	106	94	96	93	81	49
PSME2	380	1942	1577	568	574	469	495	369	334
IGFBP4	2222	9719	8830	3867	3811	3447	3435	2674	2196
THSD1	33	158	98	66	47	54	52	38	34
NAPA	180	867	758	465	533	531	449	397	288
SPSB1	51	267	215	133	183	130	117	131	82
FAM111A	43	275	194	177	166	135	154	101	98
SRGN	117	741	547	326	331	316	296	228	193
EIF1B	57	291	224	366	385	437	319	335	221
TSKU	517	2443	2073	788	751	599	704	521	359
SPHK1	18	93	71	100	112	118	111	72	59
L2HGDH	22	175	122	71	59	43	49	51	27
TNS1	72	208	228	335	399	454	307	326	225
S100P	75	345	296	68	62	71	63	46	37
IL1A	5	46	29	461	507	561	482	332	291
RNF31	74	359	259	213	217	187	187	156	105
ALPK1	22	110	75	51	55	42	41	33	32
PRKCE	45	171	154	128	125	130	107	99	70
N4BP1	95	467	389	443	421	370	361	280	242
UNC93B1	130	615	539	142	154	101	129	90	67
C4orf33	17	82	68	48	40	51	37	35	27
MASTL	58	296	193	185	167	149	131	108	114
FLRT3	120	486	476	171	160	155	123	121	100
SCARB2	370	1985	1440	461	449	371	348	309	250
CFH	855	2896	2727	642	598	511	479	453	314
DNPEP	86	438	371	118	125	104	84	91	69
CREM	44	272	182	138	159	135	110	121	74
PSME1	338	1712	1471	607	574	494	421	452	308
NDUFA9	172	787	671	178	163	138	123	130	84
C17orf67	15	75	67	45	66	44	30	38	38
ZCCHC2	35	155	143	177	180	177	149	132	93
C3	926	4460	3803	2412	2207	1943	1966	1425	1211
RNF19B	59	363	271	411	455	397	327	295	254
LGMN	118	589	408	198	176	141	124	135	99
CLIC4	225	1215	988	530	545	682	471	418	327
OTUD1	16	93	71	121	117	122	90	91	68
CCL20	41	276	244	1133	1200	1321	1110	839	591
RABAC1	119	523	495	143	138	108	111	74	81
PTPRU	121	589	395	104	118	65	88	61	48
TMEM92	35	127	114	68	62	56	46	43	37
ANGPTL4	293	1229	1069	991	1256	1059	899	770	573
GREM1	99	653	499	228	373	328	185	241	190
CTNNBL1	105	563	454	279	287	200	195	185	136
SERPINB8	26	164	113	47	63	50	42	35	30
DKK3	83	337	296	96	127	79	75	72	54
ENDOD1	63	415	305	130	140	109	95	83	73
TRADD	38	152	143	61	60	44	48	40	23
PLIN3	230	1218	1175	356	348	329	281	219	183
AGTRAP	77	354	326	63	62	68	50	48	30
FSTL1	345	1751	1362	309	338	283	223	223	165
DBF4B	17	74	52	58	39	30	30	27	26
GNG4	18	112	80	38	46	37	18	34	26
SHOX2	7	50	26	83	75	76	43	63	46
ETV6	31	193	140	162	183	167	129	107	96
ARID5A	17	66	52	68	87	109	60	65	46
PRKD2	95	540	389	448	432	361	343	273	193
CTSS	162	792	718	274	193	138	157	128	105
AVPI1	79	341	294	157	172	147	154	102	53
SLFN5	120	550	370	173	144	133	127	75	83
ZNF107	24	118	103	146	124	137	99	87	70
DHRS9	17	74	55	59	65	49	40	42	27
SLC39A8	101	483	330	93	95	85	50	73	47
GPRIN3	48	216	180	107	115	137	105	54	64
HEG1	71	323	236	188	166	156	99	120	94
NLGN2	81	362	260	202	228	202	146	125	116
ZNFX1	240	1214	903	1873	1689	1479	1187	1041	870
RPS6KA5	20	116	76	60	61	55	39	40	29
FZD8	28	173	141	84	93	98	72	61	37
C15orf48	60	266	168	172	187	153	130	100	83
SLPI	62	252	262	44	61	55	40	35	23
ADAR	715	3219	2422	1818	1808	1590	1225	1109	839
LXN	127	348	350	136	150	162	95	107	68
TXNIP	63	263	151	168	141	127	69	121	69
GPR180	41	221	180	126	112	123	76	72	65
CLEC2B	10	38	38	39	56	60	41	32	19
ST8SIA4	69	274	221	90	57	38	48	42	21
GABRA5	115	619	465	132	95	123	70	80	55
HES4	4	35	34	24	34	30	16	21	14
MFSD12	60	380	307	121	128	91	79	72	46
EHD4	65	353	263	203	226	219	140	130	101
MOB3C	12	48	35	65	49	47	29	33	29
RRBP1	400	1924	1469	696	786	674	434	462	323
RTN4RL2	143	628	492	140	115	136	97	67	58
RASD1	10	64	33	49	56	65	44	25	27
ODF3B	2	31	25	28	30	31	28	14	9
ANO5	45	194	118	73	69	67	52	39	27
CASP7	168	705	640	367	310	268	197	192	140
ID1	185	808	686	275	348	380	220	203	136
TMEM106A	3	33	28	29	29	22	20	13	11
MOB3B	5	21	26	30	25	33	15	21	12
MDK	25	144	101	52	53	44	44	12	25
MAF	23	89	97	101	130	164	86	75	52
CLEC4E	9	47	40	75	90	74	62	41	27
LIPA	203	1020	833	288	269	221	151	130	133
TRIM5	85	378	311	355	332	309	193	186	150
IFIT5	76	308	286	485	462	450	267	270	203
CP	1583	6020	5326	1597	1501	1178	798	953	533
NNMT	126	534	446	187	137	122	125	57	55
JAK2	16	85	57	93	96	77	51	52	35
RAB27A	49	192	156	94	89	86	56	48	35
CCL5	11	88	56	91	68	36	41	32	26
PLAUR	89	445	331	447	469	379	228	258	162
LCMT1	50	269	226	109	105	86	51	63	36
MUC1	31	79	102	85	64	65	45	42	21
IFI30	54	375	246	111	73	47	48	33	34
SLFN11	40	152	103	58	49	44	28	27	20
MOV10	155	800	627	372	353	277	217	158	125
TMEM62	45	197	153	135	114	108	57	75	45
SAA2	5	25	32	28	29	28	15	13	13
TTC38	34	150	115	59	64	59	35	33	20
GNB4	35	188	142	79	94	86	44	53	28
WARS	381	1815	1330	732	698	435	342	300	239
SOCS3	84	332	312	497	553	544	288	248	206
SIX1	30	80	88	52	44	37	24	16	20
OGFR	80	387	296	387	359	346	265	129	111
PI4K2B	31	156	116	100	91	74	36	39	42
NTS	34	109	116	37	21	32	9	19	12
ATP10A	46	206	178	153	136	92	66	60	43
MLKL	34	142	105	226	247	149	95	99	79
REC8	4	19	21	61	51	69	35	25	19
MAP2	16	75	46	32	45	27	18	16	11
CASP4	51	256	225	89	83	71	51	29	25
SP100	150	719	512	979	925	830	463	399	311
MT2A	134	582	556	347	479	406	228	175	117
RARRES1	63	297	330	141	112	113	60	56	38
FOXC2	2	5	6	51	66	58	32	22	19
C11orf96	0	4	0	63	76	79	40	28	22
IRF9	70	225	215	280	307	302	158	119	90
EIF2AK2	200	875	613	882	793	761	394	342	251
TRANK1	43	205	163	670	569	495	298	208	183
PML	44	197	150	237	245	205	127	67	74
ISG20	22	103	83	143	136	109	67	49	36
APOL2	347	1418	1441	1227	1213	997	470	525	338
APOBEC3F	10	59	47	90	81	72	36	34	24
TNFAIP8L3	6	28	12	17	14	16	7	7	4
TNFAIP6	23	90	68	71	93	76	35	31	25
PSMB10	48	249	238	74	54	49	29	20	18
TYMP	34	179	126	153	127	101	56	44	43
CNP	269	1312	1002	796	844	654	378	271	216
PRR5	14	95	88	19	39	13	14	9	4
TNFSF13B	3	7	7	17	20	12	6	6	6
B3GNT7	9	34	35	55	44	32	22	13	13
CDK18	2	23	26	21	31	19	13	8	5
ZBTB42	4	46	37	34	33	32	20	8	8
TM4SF20	61	190	260	28	21	34	12	9	8
GBP2	46	233	209	258	181	200	106	78	40
PIK3AP1	6	34	32	48	39	18	14	12	10
TRIM25	259	1317	948	1335	1286	1155	495	382	359
C1S	347	1512	1294	692	599	516	215	237	141
LGALS3BP	366	2015	1606	902	841	630	341	242	191
CD68	217	929	761	693	714	508	238	202	173
SIDT1	7	39	38	43	52	29	17	10	12
MYOD1	1	4	3	11	15	19	6	5	3
RASGRP3	13	66	72	143	146	96	44	39	35
DHX58	1	7	3	29	16	13	4	4	9
RNF213	973	4766	3582	6049	5106	3906	1873	1518	1183
PHF11	9	72	41	80	83	71	37	18	15
PNPT1	138	612	486	1011	960	892	331	304	201
CXCL11	0	0	1	18	12	8	6	2	3
SLC25A28	35	157	110	228	233	184	81	53	47
MYD88	113	503	404	669	607	471	185	179	123
NMI	63	303	244	207	208	178	52	56	54
TREX1	11	79	77	71	74	51	29	17	9
TRIM21	42	206	172	314	281	262	102	73	62
FLT3LG	0	7	8	16	19	16	6	5	3
CD38	35	169	160	69	83	30	21	13	15
C1R	176	842	757	724	629	503	222	155	125
IFNL1	0	0	0	51	88	23	25	9	10
IL15RA	4	33	19	41	53	34	15	10	9
PRG4	6	22	9	13	11	14	3	5	2
FGA	139	583	360	270	243	231	79	76	41
IL22RA1	3	23	21	43	33	27	17	7	3
C19orf66	25	116	102	213	207	204	62	47	48
PLSCR1	112	526	402	944	900	846	280	208	182
PDZK1IP1	20	77	110	49	60	51	14	14	11
GBP5	1	13	1	11	20	7	1	4	4
TRIB2	11	31	25	34	26	28	7	6	8
HCAR3	3	8	14	10	11	10	1	4	2
ITGB3	23	121	90	96	113	119	23	23	26
PPM1K	13	47	28	141	146	128	46	22	24
S100A9	6	11	11	15	11	8	1	2	4
SECTM1	5	6	8	24	19	6	5	2	3
DTX3L	108	474	375	714	533	535	158	118	86
APOL1	344	1344	1284	1046	1052	654	228	188	135
SOCS1	0	3	2	32	26	20	5	4	6
PARP14	175	889	592	1597	1517	1200	375	242	222
GBP3	48	204	180	209	170	136	41	31	26
FGB	134	393	371	182	125	100	37	25	16
STAT1	573	2717	2276	2799	2602	2244	656	401	329
SP140L	16	87	70	98	85	62	20	14	10
DDX60	17	74	55	368	300	260	82	47	35
HCAR2	3	18	20	9	13	7	4	0	1
HERC6	30	119	97	197	190	126	39	26	22
BTC	0	11	4	13	16	13	2	4	1
LAP3	86	413	314	645	607	397	110	88	74
CEACAM1	63	250	236	287	221	117	40	40	23
APOL3	0	9	1	18	16	4	1	3	2
CXCL10	0	13	1	26	22	11	2	3	4
DDX60L	80	429	274	999	913	747	198	114	102
CASP1	2	10	9	18	13	2	0	4	1
UBE2L6	121	519	489	683	585	422	118	77	62
APOL6	55	259	250	461	384	345	80	49	48
DMBX1	2	8	6	5	16	14	1	3	1
BST2	8	46	47	110	93	65	13	12	13
HELZ2	23	184	122	943	994	910	201	109	88
TGM2	638	3119	2869	4751	4864	4229	630	673	584
PLEKHA4	0	4	6	79	79	56	14	6	9
PARP9	54	315	255	698	652	602	135	70	62
OAS3	194	1147	711	2075	1935	1581	408	188	176
IFIT2	22	66	58	4198	2945	1881	596	377	255
STAT2	54	252	209	920	813	730	133	89	96
IFNL2	0	0	0	60	65	24	16	3	1
SAMHD1	28	130	81	262	217	145	42	18	17
IFI35	42	221	214	453	418	285	78	32	30
IFITM2	77	245	253	277	270	197	36	36	16
SP110	17	75	49	356	314	235	56	24	27
EPSTI1	0	2	2	22	17	13	3	1	2
RET	3	12	5	14	11	10	2	1	1
IFNL3	0	0	0	58	56	20	7	4	4
USP18	12	52	41	262	231	165	23	19	25
OAS1	74	386	346	1439	1315	1054	179	102	107
HERC5	28	160	101	705	743	543	93	58	48
IFI16	16	103	80	416	308	238	48	29	20
NLRC5	20	106	79	363	318	261	51	24	16
FGG	84	371	232	154	102	80	18	9	5
IRF7	7	21	21	247	274	219	39	15	13
RSAD2	1	10	0	280	250	148	23	18	19
CYP2J2	0	6	1	8	9	6	0	1	1
CDH3	6	17	10	6	11	7	0	1	1
HSH2D	1	2	7	53	42	33	7	3	1
IFIH1	9	51	41	629	528	400	54	38	24
LBP	3	11	20	13	10	6	0	0	2
TRIM22	15	72	71	279	235	139	23	8	15
IFITM3	11	85	61	182	210	129	14	10	12
ISG15	12	93	46	471	540	416	55	25	16
LAMP3	3	34	30	125	115	77	7	4	9
IFIT3	22	89	65	2327	1961	1618	192	99	82
IFI6	71	334	184	1063	1129	793	122	36	27
IFI27	9	74	33	317	349	212	22	16	9
IFI44	3	11	6	283	244	191	19	10	9
GIMAP2	0	2	3	9	8	4	0	1	0
GBP1	27	161	122	359	273	215	22	13	8
MMP13	0	0	1	7	10	6	0	0	1
MX1	11	80	42	1067	869	700	52	28	40
BATF2	1	12	5	180	127	98	9	7	2
SERPINB4	1	5	5	6	4	3	0	0	0
OAS2	2	23	5	415	375	249	21	7	13
MX2	0	10	5	211	161	103	6	5	7
IFIT1	24	90	57	3655	3455	2606	197	90	88
IFITM1	4	24	12	217	213	134	9	3	8
CMPK2	4	9	5	330	302	274	12	8	10
OASL	3	11	7	876	756	545	40	18	15
IFI44L	0	12	2	142	95	87	3	3	4
TNFSF10	3	19	8	235	189	94	5	4	6
GBP4	4	9	3	53	52	33	1	2	1
THEMIS2	1	3	4	99	84	60	3	2	2
SAA1	7	33	18	7	21	11	0	0	1
XAF1	2	18	4	203	162	117	7	2	4
LMO2	0	2	3	23	13	12	0	1	0
UBA7	0	4	0	38	40	27	0	1	1
SERPING1	0	4	5	17	32	10	0	0	1
