id	Series16_A549-ACE2_SARS-CoV-2_1	Series16_A549-ACE2_SARS-CoV-2_2	Series16_A549-ACE2_SARS-CoV-2_3	Series16_A549-ACE2_SARS-CoV-2_Rux_1	Series16_A549-ACE2_SARS-CoV-2_Rux_2	Series16_A549-ACE2_SARS-CoV-2_Rux_3
CAP1	817	950	768	1053	1226	995
EIF1	2403	2771	2846	3991	4204	2841
APLP2	382	340	327	421	475	342
SFN	187	199	144	268	219	209
CAPNS1	1290	1408	1155	1973	1835	1550
TM4SF1	1990	2034	1971	2223	2224	1789
MALAT1	7574	8406	8084	13327	14607	10337
ACTN1	708	698	643	761	820	590
FADS2	440	430	321	736	570	628
RPS25	598	669	699	917	1002	678
EIF4G1	1053	1064	972	1576	1392	1008
F3	416	578	636	481	563	379
LASP1	1348	1333	1190	2168	2058	1645
PDIA3	772	714	631	859	947	769
TGM2	4751	4864	4229	630	673	584
ITGA6	239	264	218	422	444	349
HNRNPU	1429	1388	1315	1908	1786	1479
RAN	1435	1545	1651	2145	2441	1780
2-Sep	1194	1195	1322	1901	1998	1579
ANXA5	1594	1788	1796	1803	2038	1413
CLTC	2255	2304	2309	3588	3604	2749
ITGB4	259	250	244	338	264	176
CD63	691	752	734	989	964	723
RPL14	926	1027	1094	1374	1364	1107
NAP1L1	2226	2502	2769	3542	4163	2943
S100A14	6	3	4	4	1	2
RPL38	2093	2676	2629	3039	3226	2547
CCT3	1306	1405	1343	1699	1995	1520
BSG	527	513	451	815	701	496
S100A16	320	355	276	434	337	274
TUBA1C	1514	1504	1520	1914	2160	1531
LAMA5	951	963	1043	2046	1163	964
RNF213	6049	5106	3906	1873	1518	1183
SDC1	429	414	414	724	571	465
YWHAQ	1053	1030	971	1605	1737	1211
RPS13	1416	1758	1738	2123	2064	1733
CCT7	1139	1193	1100	1425	1627	1231
TNFAIP2	3838	4095	3841	7757	5259	4277
LGALS1	341	404	423	587	547	438
PMEPA1	911	1097	1174	1680	1604	1274
CTSD	559	574	427	848	616	496
MYL12B	1089	1193	1115	1548	1639	1186
EEF1B2	1147	1277	1352	2049	1930	1433
SRRM2	2195	2245	2119	3696	3510	2407
SERPINA3	59	64	40	94	64	47
PFKP	1296	1536	1340	1891	1893	1466
ANXA4	3114	3317	3201	4452	4701	3421
MCL1	4769	5268	5836	5767	5897	4476
HDGF	1129	1092	1092	1502	1254	963
TPM3	1022	1077	967	1202	1285	965
PLAU	573	482	541	1276	762	569
RPL18A	599	708	725	1134	925	756
ALDH3A1	561	504	392	1185	670	714
KPNB1	2322	2415	2322	3156	3208	2445
EIF4B	1694	1777	1952	3164	3264	2315
RPL29	620	775	719	1004	810	668
ARPC2	848	988	1009	1267	1416	1032
RTN4	1153	1250	1276	1776	1834	1443
LMNA	1051	1144	1073	1781	1353	1070
TOP2A	152	215	183	309	224	220
COL7A1	1686	2048	2085	3100	2223	1730
TACSTD2	0	0	0	0	1	0
AGRN	904	1022	1008	1193	761	617
IQGAP1	1400	1374	1402	1789	1823	1323
FASN	173	196	174	367	246	203
CD151	922	1090	1105	1556	1251	993
DSTN	1012	1052	958	1600	1563	1286
PRPF8	1766	1803	1797	2851	2965	2063
SLC3A2	1312	1386	1361	2348	1815	1385
TNS4	389	326	252	376	238	201
CSDE1	880	850	786	1078	1210	860
NFKBIA	9563	10744	11183	16083	13726	10362
SLC25A3	1236	1380	1257	1928	1762	1444
AKR1C1	788	625	511	964	961	615
S100A9	15	11	8	1	2	4
ABCC3	1212	1073	964	1503	1374	1030
IFIT1	3655	3455	2606	197	90	88
TMBIM1	695	702	701	1083	1029	816
XRCC6	871	921	930	1304	1468	951
SLC38A2	2618	2637	3009	3660	3533	2501
PDIA6	527	530	469	618	691	508
PSMD3	361	397	384	507	508	357
HNRNPUL1	1055	1083	944	1762	1577	1214
RHOA	955	1040	1014	1567	1642	1191
XRCC5	827	862	783	1179	1311	936
RPS21	685	900	909	1112	1025	735
IFIT2	4198	2945	1881	596	377	255
AP2B1	1541	1610	1528	2192	2246	1780
PTPRF	912	921	929	1236	1087	855
NFE2L1	732	795	741	1127	1118	768
BHLHE40	4715	6453	7732	8220	10327	6513
ZFP36L1	2010	2396	2530	3033	2890	2078
GANAB	629	678	630	927	951	718
PSMD2	626	697	709	811	873	630
GRN	422	435	413	547	407	345
FADS1	578	589	421	793	729	694
RPL36	633	824	875	1066	830	607
WDR1	922	1016	995	1458	1507	1161
RPS29	1095	1274	1223	1509	1834	1275
LAMC1	915	899	866	1684	1437	1185
STAT1	2799	2602	2244	656	401	329
EIF3A	1673	1784	1834	2815	2995	2003
GPX2	693	632	530	1110	1293	891
ARF1	845	979	973	1220	1200	941
UBA52	806	896	937	1068	1230	996
GNB1	644	699	664	988	1029	794
AMIGO2	2346	2309	2262	3142	2410	1933
RPN2	669	717	663	945	1020	776
DDIT4	3639	5623	6961	6657	8294	5200
RPL41	829	973	962	1116	1199	838
RPL35A	603	666	678	867	985	643
GPRC5A	1414	1743	1569	1391	1664	1372
CTNNB1	1244	1459	1424	2006	1859	1321
PLOD2	2740	3126	3191	3001	4482	3117
ATP1A1	313	321	254	344	391	314
SHC1	748	721	573	925	761	629
PPIB	286	304	230	347	378	272
HIF1A	580	538	558	807	676	537
MYO1B	1043	1119	1051	1509	1398	1059
VCL	995	1022	894	1248	1251	1074
ATF4	2930	3314	3301	4677	4464	3329
ACTR2	716	803	835	1117	1173	938
CSTB	333	322	270	428	418	282
UCHL1	1292	1428	1319	1725	1850	1378
PPP1R15A	8944	10143	11234	15044	13798	8934
ADAR	1818	1808	1590	1225	1109	839
PFKFB3	2764	3138	2951	3345	3729	2722
MGST1	677	680	565	787	701	638
DHCR24	144	170	148	254	241	226
HNRNPA3	2299	2586	2859	3806	3909	2860
MAT2A	2111	2342	2087	3006	3031	2462
TRIM28	739	876	812	1138	983	843
RPS15	318	411	419	504	430	350
AP2M1	368	443	349	515	478	405
TUBA4A	386	503	486	528	674	460
ARPC3	760	792	743	980	1155	765
EPAS1	663	681	661	674	677	507
MORF4L1	908	959	1030	1393	1679	1192
ACADVL	1004	1117	1064	1524	1405	1069
CCT4	989	1099	1051	1304	1380	1129
IFIT3	2327	1961	1618	192	99	82
CTTN	831	843	851	1293	1261	807
PYGB	431	397	335	867	719	492
TALDO1	561	567	495	665	687	558
MAP4	506	537	567	805	766	586
CALM3	576	640	524	793	742	668
SLC2A1	1248	1525	1467	1656	1711	1297
STIP1	696	893	879	932	1224	843
SNRNP200	998	940	895	1561	1556	1093
YWHAB	622	676	688	807	1002	736
CCND1	389	437	398	583	576	546
SEC61A1	729	757	687	1091	1014	876
PTGES3	1324	1733	1841	1748	2392	1691
PCBP2	1014	1080	968	1515	1503	1102
MYO1E	1633	1667	1846	2222	2326	1524
KRT23	5	1	2	3	8	1
SF3B1	2520	2793	2905	3961	4516	3101
OAZ1	398	395	404	527	536	355
RHOC	506	521	489	830	718	558
CAPRIN1	1195	1228	1143	1801	1768	1315
MYL12A	881	944	923	1139	1217	887
RAB7A	499	499	507	712	674	535
SNRPB	926	1014	1058	1321	1202	996
CDH1	225	195	143	175	136	131
CALM1	439	429	425	606	719	564
PTHLH	55	57	60	95	113	62
RPN1	361	387	303	500	461	399
PCBP1	1842	1951	1837	2836	2707	1922
SDC4	831	924	963	1334	1218	890
MAP4K4	1068	1069	989	1512	1382	1129
EIF5B	985	1174	992	1481	1464	1114
CAPN1	288	318	271	478	409	334
PRRC2C	1443	1463	1599	2013	1979	1454
FKBP1A	352	342	322	450	501	424
SH3BGRL3	236	239	241	273	256	209
LGALS3BP	902	841	630	341	242	191
NUCKS1	645	689	701	1116	1097	829
9-Sep	510	504	473	818	714	509
CDH3	6	11	7	0	1	1
PRKAR1A	850	831	928	1294	1381	1036
TMED2	500	503	472	647	795	562
SERBP1	381	413	439	669	697	540
DYNLL1	1090	1310	1296	1704	1812	1392
ALDH1A3	31	23	21	96	68	68
ABCC2	1842	1676	1520	2850	2544	2011
CCT2	1075	1230	1240	1551	1796	1292
HNRNPF	1147	1134	1025	1684	1416	1227
AHCY	242	252	268	413	385	317
FAU	522	681	687	978	704	612
SPP1	320	304	259	364	359	291
COX4I1	828	948	981	1350	1388	964
DSG2	367	357	381	630	650	519
PTBP1	491	540	583	722	679	520
DDX17	1616	1828	1720	2503	2527	1807
MYO1C	586	597	550	1059	833	680
S100A4	1608	1512	1584	2796	3032	2180
PLXNB2	995	990	899	2044	1339	1020
ITGB5	852	920	810	1367	1238	967
ACTR3	1110	1181	1259	1635	1749	1300
FUS	1142	1088	1025	1429	1376	1036
SRSF1	3072	3376	3802	4853	5043	3833
KLF6	2297	1975	2316	3672	3354	2188
COTL1	418	400	405	713	713	483
GDI2	764	750	667	959	950	732
ELF3	2559	2768	2767	4797	4699	3051
STARD3	72	83	86	126	92	89
TUBB6	379	374	349	553	458	397
EIF4A2	1580	1840	1872	2327	2810	1807
BZW1	1524	1928	2236	2182	3113	2028
FBL	584	739	808	859	1080	770
ATP1B1	1964	2044	2067	2571	3334	1945
KPNA2	468	493	568	679	815	532
CLSTN1	548	516	469	733	739	577
MACF1	664	723	674	1258	1060	917
PA2G4	714	770	704	1145	1194	973
MPRIP	896	877	895	1396	1281	850
RPL22	508	597	600	788	809	646
TSPAN3	909	955	928	1167	1463	1028
SRC	1032	936	928	1564	1325	838
ILF3	878	897	880	1384	1277	1008
KTN1	1280	1433	1514	1987	2130	1414
IPO7	974	1099	1116	1348	1610	1151
PRDX5	355	411	344	580	451	382
DDX21	1559	1705	1761	2585	2837	1988
EIF5	3394	3630	3746	5041	5340	3736
TGOLN2	987	876	800	1277	1317	1000
DNAJB1	992	1255	1256	1191	1567	1129
TINAGL1	5	5	4	8	7	8
LDLR	278	309	312	397	416	305
MVP	492	467	440	586	384	301
LIF	1462	1676	1753	2688	2220	1681
HADHA	609	671	600	1000	980	746
ICAM1	708	783	709	1318	1007	781
ORMDL3	182	180	198	177	206	147
COX6B1	504	552	529	819	810	614
SERPINB5	1	0	0	2	4	1
PPP2R1A	481	574	497	809	723	573
JAG1	1375	1380	1469	1944	1504	1205
JAK1	1105	1191	1234	1823	1773	1259
XPO1	3065	3372	3767	4961	5797	3813
ITGAV	1287	1326	1501	2098	2163	1647
DDB1	644	615	570	939	887	674
SFPQ	931	1114	1062	1525	1477	1083
CSRP1	677	653	628	949	780	664
VAT1	504	484	470	928	692	600
PHB	251	256	176	385	371	267
OAS3	2075	1935	1581	408	188	176
SNRPD2	360	434	410	537	699	461
RPL13A	782	893	959	1304	1147	993
PRNP	585	600	633	924	967	795
SMAD3	1980	2224	2420	3135	3258	2264
MRFAP1	843	890	910	1289	1270	881
EIF3K	591	634	618	930	927	675
JUN	2533	3201	3823	4435	4136	2681
EIF3L	553	560	621	926	982	714
TXNIP	168	141	127	69	121	69
RPS28	345	455	476	678	411	304
FLII	477	463	463	705	671	466
CRIM1	1000	1061	1104	1599	1536	1083
TUBA1A	785	859	858	1513	1625	1224
KDELR1	686	727	609	956	942	647
CYB5B	427	451	351	617	554	438
PRSS23	475	484	393	766	893	697
DBI	271	348	305	417	414	363
LRRC59	683	686	667	937	914	683
EWSR1	668	722	708	985	932	717
DDOST	392	407	342	595	543	498
MLF2	761	835	847	1252	1125	863
C3	2412	2207	1943	1966	1425	1211
PSMD8	488	498	452	722	697	562
CORO1C	607	713	651	874	977	763
MYADM	487	563	523	679	613	467
RPL34	305	354	347	399	504	288
RAB10	727	871	890	1289	1295	991
TFRC	577	708	802	814	1249	925
PHLDA1	840	837	872	1154	1000	787
CDC42	691	788	752	977	1217	816
CD81	373	379	291	547	547	339
SLC1A5	459	492	416	879	578	426
DHX9	2193	2392	2428	3656	3943	2657
MLEC	593	617	513	650	682	520
ARHGDIA	308	358	352	659	457	350
ANXA11	234	253	207	383	328	281
TSPAN14	706	756	614	1090	1013	835
PDXK	427	478	438	639	573	479
MMP14	6	4	13	15	19	12
CNBP	917	967	936	1355	1305	916
CCT8	619	695	654	925	996	858
PDLIM1	596	563	508	661	658	515
RAB1A	916	996	1019	1327	1497	1180
KYNU	1101	1121	1153	1331	1187	899
SF3B2	1029	1128	1150	1626	1542	1196
TGFBR2	570	530	455	835	673	618
TMEM123	717	803	795	863	1068	718
FDPS	247	240	231	365	328	297
CNOT1	1252	1273	1240	1903	1894	1439
CSF3	9	14	9	6	9	3
PEA15	576	634	638	830	779	673
ITM2B	404	442	433	498	501	456
CD9	235	207	199	377	401	254
SSRP1	527	537	484	760	705	585
CD46	584	553	587	867	887	645
BCL2L1	871	934	817	1348	1038	905
LITAF	547	583	530	682	623	507
U2AF2	800	885	879	1220	1118	891
RAB5C	554	581	504	898	800	616
HNRNPM	440	456	400	563	612	453
PRDX6	583	672	617	905	784	687
RBM39	2902	3142	3588	4601	5269	3375
JUNB	943	1313	1463	2120	1267	992
CHD3	980	1077	1044	1493	1635	1146
SNRNP70	548	644	630	945	829	546
RPS26	190	190	169	312	269	236
EPHA2	974	1112	1085	1854	1374	1149
GSPT1	664	702	660	1063	1079	785
UGDH	705	636	550	800	804	537
KIF1C	380	448	391	757	640	537
VMP1	3408	3981	3897	5016	5007	3864
QSOX1	497	547	478	660	648	508
NET1	558	600	629	792	772	571
GHITM	569	641	605	884	909	646
CRTAP	748	786	726	1199	1273	897
RPL36AL	591	659	651	892	907	729
AARS	411	362	337	861	557	449
USP22	904	993	994	1654	1701	1217
PSMA7	419	420	434	656	655	458
TNFRSF12A	555	660	636	902	707	535
HSPG2	225	238	233	546	394	313
ACSL3	716	803	844	1124	1265	809
UBR4	1241	1274	1266	1940	1852	1392
CXCL1	1581	1640	1704	2207	1707	1283
EIF3D	636	692	766	992	1028	774
KIF5B	1267	1441	1495	2250	2283	1633
NCKAP1	841	846	945	1293	1332	967
HNRNPL	1249	1328	1360	1893	1945	1391
UBE2D3	1358	1425	1603	1881	2010	1450
SSR3	461	467	446	622	659	493
AHSA1	679	875	882	875	1059	811
GLUL	61	63	64	65	69	56
ANGPTL4	991	1256	1059	899	770	573
TUFM	479	487	467	726	643	607
ST13	708	795	784	1046	1169	836
ALCAM	370	441	381	539	509	441
TMED10	361	353	354	578	617	406
COL4A2	312	314	256	474	390	341
GALNT2	380	440	355	402	357	338
HMGB1	304	244	250	434	450	354
AES	369	376	364	513	489	390
PTMS	325	310	272	436	358	338
ILF2	920	981	1007	1338	1388	1068
SIK1	1272	1510	1672	1872	1584	1147
IDH1	464	468	372	632	526	467
KRT6B	0	0	0	1	1	0
ECE1	678	778	691	1125	993	724
PSMB4	691	733	672	929	907	690
PSMC4	943	1099	933	1410	1405	1063
CDC37	487	602	537	815	723	539
TUBB3	303	304	244	383	339	202
POLR2A	729	754	653	992	979	843
CTSC	271	273	219	266	272	214
SLC38A1	616	578	658	1013	757	643
CCL2	613	795	790	2541	2097	1659
TAF15	425	388	417	564	577	411
TNFRSF1A	547	475	403	566	472	371
TRIP12	1356	1307	1270	1657	1651	1217
CLDN1	448	390	377	615	461	453
ECH1	336	361	329	675	586	432
PFDN5	459	540	522	711	755	584
EHD2	588	619	547	784	785	589
H1F0	2236	2357	2197	3516	2645	2308
SON	2531	2704	2832	3863	3879	2676
PVR	1062	1150	1236	1825	1596	1306
ABCC1	1087	1156	982	1280	1123	870
ANXA3	330	299	304	493	486	348
GADD45B	311	465	550	476	392	308
WARS	732	698	435	342	300	239
LRPPRC	906	976	1012	1483	1517	1143
DKK1	569	515	469	784	655	496
FKBP4	665	842	797	903	1176	899
PXN	196	228	193	281	269	231
MX1	1067	869	700	52	28	40
MCFD2	617	612	509	866	820	634
SRSF2	936	911	945	1341	1404	1043
SRP14	478	526	524	697	798	552
PHB2	564	546	491	879	738	639
SLC16A3	428	455	439	638	527	392
KIAA0100	385	395	326	538	658	449
CERS2	689	717	610	978	912	666
PAICS	484	474	459	641	800	561
HNRNPR	573	620	597	826	868	644
ISG15	471	540	416	55	25	16
LUC7L3	2198	2695	2847	3681	4037	2768
HSPH1	1347	1691	1717	1501	2036	1482
COPB1	984	935	971	1445	1458	1018
CXCL2	2748	2910	3079	4897	4092	2828
RAB11A	694	768	853	1183	1282	895
SEC11A	768	910	939	1256	1450	1015
PTTG1IP	330	357	378	450	447	312
YME1L1	1004	1040	1042	1380	1545	1097
SEMA4B	1427	1721	1646	1313	1295	965
COPA	609	601	584	879	863	670
PRMT1	392	451	447	729	654	477
PSMA4	819	907	737	874	975	678
ARL6IP1	250	279	304	421	394	310
PTGS2	3887	3514	3773	4598	3759	2459
MIEN1	76	104	105	170	177	115
SUPT6H	1740	1877	1842	2636	2648	1810
ITGA5	1026	1246	1276	1226	1324	970
RSL1D1	849	911	916	1336	1320	1042
RRBP1	696	786	674	434	462	323
PPP1CB	1014	1168	1376	1615	1901	1335
H2AFZ	358	459	468	681	674	504
TM9SF3	688	782	898	1107	1332	898
C1QBP	349	325	288	451	403	328
CDV3	701	728	775	1108	1082	809
RAB1B	309	301	339	476	425	347
SERPINE2	670	767	735	653	741	558
ARF3	390	400	334	482	461	393
PNN	4631	5434	5725	7917	8909	5877
NRP2	536	541	385	615	541	518
HNRNPH3	1410	1678	1687	2257	2486	1590
FXYD5	168	177	156	235	224	145
ZFP36	1571	1873	1907	2971	2218	1724
RCN1	764	748	710	1045	972	800
PTP4A2	958	1058	1067	1423	1489	1112
TSKU	788	751	599	704	521	359
PPM1G	511	552	431	748	719	501
LIMA1	77	91	74	143	148	85
OS9	365	324	269	434	437	374
TNKS1BP1	933	967	936	1594	1248	849
EIF3I	304	269	309	445	388	299
LAPTM4A	579	584	537	661	762	492
CTSZ	381	432	335	556	568	406
TJP1	972	990	985	1378	1353	997
MPZL1	280	228	210	363	381	280
LAMP1	285	281	226	465	358	319
SOD1	362	400	357	492	557	353
F11R	225	244	225	302	294	261
SPATS2L	573	649	616	558	587	489
CHD4	497	406	395	761	606	458
HM13	431	465	362	420	429	329
NOLC1	455	556	517	808	751	607
STAT3	884	886	843	1096	1128	866
KARS	366	390	359	490	505	381
SUPT5H	998	1123	982	1561	1385	1084
EIF6	314	317	294	437	390	287
FGFBP1	1	0	0	3	0	4
PAPOLA	912	968	1173	1309	1540	1109
NARS	466	495	532	827	785	552
CAPZB	249	260	272	347	413	278
WNK1	689	670	600	955	810	693
IFITM3	182	210	129	14	10	12
SRXN1	709	717	650	1199	1032	878
PDLIM5	617	646	640	947	863	754
DAZAP2	640	677	703	888	1112	656
ODC1	2309	2771	2959	3969	4412	3125
GPX1	176	209	173	328	175	153
PSME3	674	663	637	996	1025	789
DAG1	300	296	240	505	461	376
GLG1	321	297	263	520	506	333
HYOU1	156	137	129	295	217	184
SERINC2	227	222	219	234	188	152
EPS8L2	339	405	376	708	508	425
SERPINB2	1	0	0	1	5	3
DCTN1	319	306	262	518	444	361
TRIM16	490	427	347	730	570	499
SUPT16H	642	674	692	1106	1163	849
PEBP1	201	228	210	320	285	223
CKAP4	493	446	402	589	562	408
VPS35	525	563	506	750	846	614
ERRFI1	3233	4084	4531	3856	4470	2956
EIF2S2	401	443	415	630	572	405
NOP56	754	710	626	966	1027	822
MAPRE1	640	776	798	1042	1094	799
GRB7	23	25	26	36	30	16
UBA2	1385	1619	1762	2173	2623	1806
PDCD6IP	568	650	618	807	927	653
GABARAP	829	972	907	1453	1381	934
SLC6A6	927	1093	1140	1467	1974	1308
CS	385	379	317	557	556	438
PTPN11	486	527	578	736	844	620
CKAP5	506	498	449	809	768	576
DHX15	922	1122	1057	1423	1594	1126
UBE2Z	854	858	761	951	912	707
ARF4	454	550	539	683	742	583
PFN2	494	495	522	692	834	673
SF3B3	942	945	851	1320	1454	1053
HNRNPD	728	850	822	1023	1111	843
PSMD1	488	532	485	729	888	543
ZNFX1	1873	1689	1479	1187	1041	870
CHD2	4717	5414	5515	7896	8040	5362
ANP32A	315	329	336	532	529	358
CYR61	289	342	329	468	477	378
EPRS	307	275	312	611	517	385
G3BP2	482	568	649	765	972	664
SMARCE1	615	674	683	964	1009	706
TPR	1587	1685	1628	2351	2188	1531
CHMP4B	532	566	613	794	731	485
CSE1L	298	321	312	536	581	439
TMOD3	636	659	635	838	835	690
SSR2	363	345	308	473	529	348
SERPINH1	275	316	247	346	364	323
PSMA6	829	957	919	1114	1221	860
HMOX1	657	699	625	647	540	495
COPB2	424	422	364	635	610	476
UBAP2L	412	441	400	692	647	448
CYBA	68	62	66	102	73	59
PSMB3	174	158	170	208	223	151
EIF3M	715	731	808	1059	1101	794
NUCB1	415	420	368	434	369	287
IL1RN	6	3	3	2	2	2
STRAP	666	678	753	948	987	733
FNDC3B	821	946	1014	1176	1257	974
IFI6	1063	1129	793	122	36	27
GIPC1	118	138	132	246	182	136
CFLAR	560	554	523	826	681	536
HK1	273	279	235	258	277	211
IMPDH2	281	317	331	509	496	373
NRBP1	726	760	671	806	888	547
NMT1	677	683	710	938	985	707
PICALM	755	786	789	1054	1132	875
SPAG9	1915	2194	2418	3332	3593	2334
LRRFIP1	392	449	492	605	626	480
PNP	221	215	187	264	273	196
TPD52L2	320	334	295	364	430	309
PSMD11	754	827	829	1044	1168	783
ARPP19	983	1129	1396	1754	1927	1327
PRDX3	308	312	319	438	436	401
ETS2	881	755	862	975	821	533
